rank,company,revenues
1,Walmart,485651
2,Exxon Mobil,382597
3,Chevron,203784
4,Berkshire Hathaway,194673
5,Apple,182795
6,General Motors,155929
7,Phillips 66,149434
8,General Electric,148321
9,Ford Motor,144077
10,CVS Health,139367
11,McKesson,138030
12,AT&T,132447
13,Valero Energy,130844
14,UnitedHealth Group,130474
15,Verizon,127079
16,AmerisourceBergen,119569
17,Fannie Mae,116461
18,Costco,112640
19,HP,111454
20,Kroger,108465
21,J.P. Morgan Chase,102102
22,Express Scripts Holding,100887
23,Bank of America Corp.,95181
24,IBM,94128
25,Marathon Petroleum,91417
26,Cardinal Health,91084
27,Boeing,90762
28,Citigroup,90646
29,Amazon.com,88988
30,Wells Fargo,88372
31,Microsoft,86833
32,Procter & Gamble,84537
33,Home Depot,83176
34,Archer Daniels Midland,81201
35,Walgreens,76392
36,Target,74520
37,Johnson & Johnson,74331
38,Anthem,73874
39,MetLife,73316
40,Alphabet,71487
41,State Farm Insurance Cos.,71160
42,Freddie Mac,69367
43,Comcast,68775
44,PepsiCo,66683
45,United Technologies,65100
46,AIG,64406
47,UPS,58232
48,Dow Chemical,58167
49,Aetna,58003
50,Lowe's,56223
51,ConocoPhillips,55997
52,Intel,55870
53,Energy Transfer Equity,55691
54,Caterpillar,55184
55,Prudential Financial,54123
56,Pfizer,49605
57,Disney,48813
58,Humana,48500
59,Enterprise Products Partners,47951
60,Cisco Systems,47142
61,Sysco,46517
62,Ingram Micro,46487
63,Coca-Cola,45998
64,Lockheed Martin,45600
65,FedEx,45567
66,Johnson Controls,43855
67,Plains GP Holdings,43464
68,World Fuel Services,43386
69,CHS,42664
70,American Airlines Group,42650
71,Merck,42237
72,Best Buy,41903
73,Delta Air Lines,40362
74,Honeywell International,40306
75,HCA Holdings,40087
76,Goldman Sachs Group,40085
77,Tesoro,40052
78,Liberty Mutual Insurance Group,39796
79,United Continental Holdings,38901
80,New York Life Insurance,38680
81,Oracle,38275
82,Morgan Stanley,37953
83,Tyson Foods,37580
84,Safeway,36643
85,Nationwide,36257
86,Deere,36067
87,DuPont,36046
88,American Express,35999
89,Allstate,35239
90,Cigna,34914
91,Mondelez International,34244
92,TIAA,34230
93,INTL FCStone,34063
94,Massachusetts Mutual Life Insurance,33572
95,DirecTV,33260
96,Halliburton,32870
97,Twenty-First Century Fox,31867
98,3M,31821
99,Sears Holdings,31198
