,,
MAŁOPOLSKIE                         ,3346796,
pow. bocheński                ,103869,
M.Bochnia                             ,30300,
G.Bochnia                             ,18960,
G.Drwinia                             ,6465,
G.Lipnica Murowana                    ,5547,
G.Łapanów                             ,7771,
M-W.Nowy Wiśnicz                        ,13372,
G.Rzezawa                             ,10995,
G.Trzciana                            ,5257,
G.Żegocina                            ,5202,
,,
pow. brzeski                  ,92403,
G.Borzęcin                            ,8424,
M-W.Brzesko                             ,36304,
M-W.Czchów                              ,9607,
G.Dębno                               ,14373,
G.Gnojnik                             ,7700,
G.Iwkowa                              ,6216,
G.Szczurowa                           ,9779,
,,
pow. chrzanowski              ,127848,
M-W.Alwernia                            ,12771,
G.Babice                              ,8988,
M-W.Chrzanów                            ,48824,
M-W.Libiąż                              ,22812,
M-W.Trzebinia                           ,34453,
,,
pow. dąbrowski                ,59499,
G.Bolesław                            ,2802,
M-W.Dąbrowa Tarnowska                   ,21041,
G.Gręboszów                           ,3481,
G.Mędrzechów                          ,3557,
G.Olesno                              ,7861,
G.Radgoszcz                           ,7378,
M-W.Szczucin                            ,13379,
,,
pow. gorlicki                 ,109225,
M.Gorlice                             ,28677,
M-W.Biecz                               ,17095,
M-W.Bobowa                              ,9515,
G.Gorlice                             ,16988,
G.Lipinki                             ,6816,
G.Łużna                               ,8362,
G.Moszczenica                         ,4875,
G.Ropa                                ,5311,
G.Sękowa                              ,4917,
G.Uście Gorlickie                     ,6669,
,,
pow. krakowski                ,261857,
G.Czernichów                          ,13731,
G.Igołomia-Wawrzeńczyce               ,7767,
G.Iwanowice                           ,8640,
G.Jerzmanowice-Przeginia              ,10652,
G.Kocmyrzów-Luborzyca                 ,14319,
M-W.Krzeszowice                         ,32417,
G.Liszki                              ,16267,
G.Michałowice                         ,9356,
G.Mogilany                            ,12663,
M-W.Skała                               ,10163,
M-W.Skawina                             ,42813,
M-W.Słomniki                            ,13808,
G.Sułoszowa                           ,5825,
M-W.Świątniki Górne                     ,9402,
G.Wielka Wieś                         ,10517,
G.Zabierzów                           ,24475,
G.Zielonki                            ,19042,
,,
pow. limanowski               ,127387,
M.Limanowa                            ,15116,
M.Mszana Dolna                        ,7831,
G.Dobra                               ,9727,
G.Jodłownik                           ,8293,
G.Kamienica                           ,7666,
G.Laskowa                             ,7825,
